"item","itemLabel","itemDescription","id"
"http://www.wikidata.org/entity/Q22259730","Offering","painting by Jan Van Imschoot (SMAK 1496)","Q22259730"
"http://www.wikidata.org/entity/Q22266309","8 trames 0° - 22°5' - 45° - 67°5' - 90° - 112°5' - 135° - 157°54'","work of art by François Morellet","Q22266309"
"http://www.wikidata.org/entity/Q22266876","21 Dagboektekeningen (vrijdag 30/08/1996)","tekening van Ronny Delrue","Q22266876"
"http://www.wikidata.org/entity/Q22269660","Vase mit Schiff","work of art by Katharina Fritsch","Q22269660"
"http://www.wikidata.org/entity/Q22260208","Spiaggia che cambia colore","painting by Gilberto Zorio","Q22260208"
"http://www.wikidata.org/entity/Q22269476","Kopfschmerz","work of art by Werner Mannaers","Q22269476"
"http://www.wikidata.org/entity/Q22269472","Two Crux","work of art by Werner Mannaers","Q22269472"
"http://www.wikidata.org/entity/Q22269701","Green Packing Element In An Unknown Part","work of art by Michael Ross","Q22269701"
"http://www.wikidata.org/entity/Q22269790","Flexible Materials For Gas And Light In A Suspender Clip ( To Marvel And Reflect Softly) N° 2","work of art by Michael Ross","Q22269790"
"http://www.wikidata.org/entity/Q22269721","White Styro Pellet In A Fabric Folder","work of art by Michael Ross","Q22269721"
"http://www.wikidata.org/entity/Q22251720","Abstract","painting by Hugo Claus","Q22251720"
"http://www.wikidata.org/entity/Q22250456","Advocate","art installation by Robert Barry","Q22250456"
"http://www.wikidata.org/entity/Q22338132","Q22338132","painting by Marianna Schmidt","Q22338132"
"http://www.wikidata.org/entity/Q22277293","Ausfegen","videokunst (kunstwerken) van Joseph Beuys","Q22277293"
"http://www.wikidata.org/entity/Q22277805","Kristal ed. 25/25","Druck von M. C. Escher","Q22277805"
"http://www.wikidata.org/entity/Q22278068","titel? ed.11/75","Druck von Dan Van Severen","Q22278068"
"http://www.wikidata.org/entity/Q22280851","Die Nutte im Kerker (Fragment van de grot en tralies)","painting by Mario De Brabandere","Q22280851"
"http://www.wikidata.org/entity/Q22280247","Zonder titel ed. 1/100","work of art by Jan Van Imschoot","Q22280247"
"http://www.wikidata.org/entity/Q22280560","Perspective (Parc de Bruxelles)","work of art by Gaston Bertrand","Q22280560"
"http://www.wikidata.org/entity/Q22281003","Éveil ed. 147/200","work of art by Corneille","Q22281003"
"http://www.wikidata.org/entity/Q22281241","A Performance Anthology","videokunst (kunstwerken) van Marina Abramovic","Q22281241"
"http://www.wikidata.org/entity/Q22281268","Vijfde serie ed. 109/125","Druck von Michel Seuphor","Q22281268"
"http://www.wikidata.org/entity/Q107043994","Perpetuum Mobile (25 kg)","work of art by Nina Canell","Q107043994"
"http://www.wikidata.org/entity/Q22938348","Stewardness","painting by Marianna Schmidt","Q22938348"
"http://www.wikidata.org/entity/Q22938811","untitled figure (Blue)","painting by Marianna Schmidt","Q22938811"
"http://www.wikidata.org/entity/Q22938400","[Progresses] ed. 3/10","Druck von Marianna Schmidt","Q22938400"
"http://www.wikidata.org/entity/Q22250634","Sediment","drawing by Joseph Beuys","Q22250634"
"http://www.wikidata.org/entity/Q22938471","Leusure ed. 1/0","work of art by Marianna Schmidt","Q22938471"
"http://www.wikidata.org/entity/Q22938432","Untitled ed. 2/6","Druck von Marianna Schmidt","Q22938432"
